Gate_voltage,Temperature,riseTime,millerTime,Vge_plateau,max_dVge,max_dIdt,fallTime,Vce_overshoot,E_on,E_off,Vge_max,HealthState
10,100,2.4e-07,1.5e-07,9.98404565544298,389404315.14838,71199850.8242514,5.60000000000001e-07,0.0127388181136325,0.0476089245983196,0.0011666493149019,10.3760853731893,Warning
10,100,2.1e-07,2.1e-07,9.9807538883638,385664883.351593,59203944.7952654,8.10000000000001e-07,0.0115237256849809,0.0475270157934494,0.0018395104655476,10.2828908548093,Warning
10,100,2e-07,3e-07,9.95481956275172,382455896.959011,59037841.8607729,1.5e-06,0.0084110314203371,0.0473628388458258,0.0036321480348678,10.1894954628859,Fault
10,110,2.5e-07,1.5e-07,9.98412114105398,389404339.335784,72535733.1843896,5.60000000000001e-07,0.0129108257041821,0.0485413032144491,0.0012025950063117,10.3909710894806,Warning
10,110,2.2e-07,2.1e-07,9.98074372592046,385664883.375617,59232312.5864281,8.10000000000001e-07,0.0116720207598178,0.0484868268806979,0.0018962326621177,10.2999579695731,Warning
10,110,2e-07,2.9e-07,9.95480391472435,382455899.351881,59060464.4808129,1.5e-06,0.0085047691617319,0.048378028360121,0.0037443549134229,10.1942379439674,Fault
10,120,2.5e-07,1.5e-07,9.98401103051319,389404371.642495,73935611.1666868,5.60000000000001e-07,0.0130976977379191,0.0495063978619684,0.0012413422567391,10.4028247390848,Warning
10,120,2.3e-07,2.1e-07,9.98073330316898,385664991.704681,59238152.5333381,8.10000000000001e-07,0.0118329726140587,0.0494836296930413,0.0019573756673343,10.3155037653932,Warning
10,120,2.1e-07,2.9e-07,9.95479642097193,382455896.620322,59088137.4112628,1.5e-06,0.0086072960025376,0.0494373282846441,0.0038649217942239,10.2005956443805,Fault
10,130,2.6e-07,1.5e-07,9.98396241650892,389404358.452751,75375772.2190413,5.60000000000001e-07,0.0132953842325492,0.0504853173149983,0.0012824249391134,10.4122537740374,Fault
10,130,2.3e-07,2e-07,9.98078745291585,385664883.386872,59259439.8140879,8.10000000000001e-07,0.0120038312453516,0.0504946674473485,0.0020221326635982,10.3302270082144,Fault
10,130,2.1e-07,2.8e-07,9.95483284048869,382455901.39139,59113413.7870623,1.5e-06,0.0087181952095534,0.0505182877155299,0.0039937959879445,10.2089455032266,Fault
10,140,2.6e-07,1.5e-07,9.9840210447794,389404377.166628,76886241.1513446,5.60000000000001e-07,0.01351006474016,0.0514931766474728,0.001326871268443,10.4187298785887,Fault
10,140,2.4e-07,2e-07,9.98070743830163,385664991.828954,59274956.1404157,8.10000000000001e-07,0.0121915823486347,0.0515361178142771,0.0020922869723967,10.3399775750296,Fault
10,140,2.2e-07,2.7e-07,9.95483886037042,382455896.538978,59137304.1964498,1.5e-06,0.0088397895899561,0.0516395553826611,0.004131717616377,10.2199251680765,Fault
10,150,2.7e-07,1.4e-07,9.98408313082454,389404339.591306,78441204.0702617,5.60000000000001e-07,0.0137384527908466,0.0525108057391361,0.0013742160724254,10.431492525853,Fault
10,150,2.4e-07,2e-07,9.98072428688501,385664992.264724,59280446.8171367,8.10000000000001e-07,0.0123923438351312,0.0525873783181708,0.0021670290427799,10.3562416292114,Fault
10,150,2.3e-07,2.6e-07,9.95482054928786,382455915.745839,59147437.8787879,1.5e-06,0.0089669364235192,0.0527790401468757,0.0042809521172649,10.2414133713614,Fault
10,20,1.7e-07,1.7e-07,9.98408091222507,389404364.648793,62041165.112994,5.60000000000001e-07,0.0116966218602101,0.0410140991517021,0.0009432492388996,10.2774173466674,Healthy
10,20,1.7e-07,2.5e-07,9.98077198425047,385664992.004839,59083562.9915812,8.10000000000001e-07,0.010628810837261,0.0407828816107224,0.0014872991553876,10.1862927994377,Warning
