Vce_50A,Vce_100A,Vce_275A,Vce_550A,Vce_1200A,Vce_2500A,Vce_3400A,Ic_1_5V,Ic_2_5V,Ic_4V,Ic_6V,Ic_8V,Ic_10V,mean_dIdV,max_dIdV,area_IV,mean_Ic_highV,Vge,Temp,HealthState
1.44167290908688,10,10,10,10,10,10,54.9280309634495,73.2727841707753,74.5653198188127,76.2657066831551,77.9404756893661,79.5903209868943,7.8842852463261,100.57603075258,660.357898869535,78.8086881330904,8,20,Healthy
1.41121025915985,10,10,10,10,10,10,58.7627578427351,88.9244879212862,90.471069220759,92.5046337588474,94.5064264891988,96.4773385861349,9.55705524765492,108.086895516749,795.289573825874,95.5436862225944,8,30,Healthy
1.39677032660954,2.02329022425299,10,10,10,10,10,61.2991131591693,104.590226035169,106.389895140467,108.755339563879,111.082837763212,113.373481065425,11.2307254439925,114.964785466019,928.451294985361,112.288444918223,8,40,Healthy
1.39027695798175,1.88573634268413,10,10,10,10,10,62.8951414781785,120.141327664802,122.192114485808,124.886856534688,127.53752815732,130.14542008594,12.8920922611637,119.752189770738,1058.74347549865,128.9101753003,8,50,Healthy
1.38813002381639,1.83407661965019,10,10,10,10,10,63.7932659991375,135.359516756768,137.786770855055,140.807385640055,143.777904913906,146.699815270645,14.5319122958403,123.948512560037,1185.43544250141,145.315888389236,8,60,Healthy
1.3888385717516,1.80591261750904,10,10,10,10,10,64.1679486619332,148.028984699572,153.1099625428,156.45245567422,159.738961346409,162.971156489444,16.1436982047821,127.504987822401,1308.03577787769,161.440310606346,8,70,Healthy
1.39153804849583,1.79108799516392,10,10,10,10,10,64.1465820609478,157.93351234818,168.117091880647,171.777075035886,175.375335566316,178.913733819529,17.7229234364756,129.924587153131,1426.23517899838,177.237895550619,8,80,Warning
1.39568781003188,1.78363386878721,10,10,10,10,10,63.8232540766791,165.647089383536,182.777570598519,186.750378531435,190.65590171479,194.4961760413,19.2664813607255,132.008680494649,1539.83701762266,192.677387314497,8,90,Warning
1.40091548672635,1.78089127787412,10,10,10,10,10,63.2696213976878,171.614715699795,197.071115589195,201.351886793337,205.559995066489,209.697643347721,20.7723082310371,133.796837848617,1648.75219099466,207.738028425421,8,100,Warning
1.40681048375034,1.78147779013088,10,10,10,10,10,62.5398188029036,176.156337774935,210.985104225577,215.568838345737,220.074722253908,224.505117056213,22.2391147898327,134.891658923518,1752.93489782398,222.406859193929,8,110,Warning
1.41331479734371,1.78451872597401,10,10,10,10,10,61.677248757276,179.54270587421,224.512653088892,229.394253031838,234.193010393041,238.911435371263,23.666191757317,135.657574687505,1852.41146557966,236.676759748087,8,120,Warning
1.42028295809927,1.7894365040682,10,10,10,10,10,60.7144705503277,181.976874697026,237.651201254946,242.825504956073,247.912170402582,252.913847756531,25.0532666784427,136.410933381872,1947.2267199946,250.545008601073,8,130,Fault
1.42764002708074,1.79581182983837,10,10,10,10,10,59.6780560725851,183.623756960295,250.401452135956,255.863257146674,261.232825016837,266.512936793606,26.4003971613983,136.725372017553,2037.46017961449,264.012207393321,8,140,Fault
1.43532405916494,1.80341312281246,8.30105230425161,10,10,10,10,58.5889376078131,184.619024212346,262.766574358656,268.510657320376,274.158099832327,279.711804879727,27.7078903421019,136.662889220154,2123.20096024516,277.081469626293,8,150,Fault
1.21541574360237,1.41987339508917,2.11046031372934,6.42986355126908,10,10,10,120.657807610103,361.366302391599,538.906967353428,548.187400633061,556.535327282204,564.670733069674,55.9278883900329,260.042206549255,4300.97680114821,560.823682254724,10,20,Healthy
1.22565316763049,1.43423786658436,2.13436739920869,4.01624796436139,10,10,10,116.6188109077,356.176762890715,549.487955807598,562.598882560001,571.294573193167,579.77162107237,57.4238645887377,256.058964092042,4382.54466405547,575.762792476999,10,30,Healthy
1.23594509046959,1.44865312002089,2.15857353015547,3.88716924881683,10,10,10,112.708751483733,350.707613135759,557.028247167656,576.297243117738,585.334123001874,594.146594230328,58.8479531056319,251.954619406858,4457.10901007792,589.978913050681,10,40,Healthy
1.24630802353926,1.46314648290811,2.18303492521757,3.84592081045135,10,10,10,108.929117741872,345.0292882873,562.075714614925,589.318552130783,598.68993478489,607.831490027981,60.2037019132595,248.068032421619,4525.06300903845,603.507939429694,10,50,Healthy
1.25676420723605,1.47772543797283,2.20792480487223,3.83277407006898,10,10,10,105.280144465582,339.207358602705,565.072022990655,601.696830109819,611.3959458317,620.860153126635,61.4944617452093,244.320180905662,4586.78010868987,616.383761009276,10,60,Healthy
1.2673282095428,1.49240300754219,2.23338068483568,3.83552149331717,10,10,10,101.761074810535,333.29275956031,566.375431275596,613.464174198451,623.484195641193,633.264555537315,62.7233979875073,240.481941425146,4642.61198745228,628.638382629806,10,70,Healthy
1.27801419112973,1.50699393057488,2.25898117167243,3.8482040073849,10,10,10,98.3697493241001,327.326282337007,566.277792213384,624.650877350744,634.984942401028,645.074910513065,63.8935019487116,236.57886394312,4692.88373162247,640.30203968895,10,80,Warning
1.28885015676974,1.52142648916438,2.28473065870402,3.86756718117467,10,10,10,95.1053074587539,321.340730581815,565.018084699458,635.285540562508,645.92677275699,656.319779953483,65.0076014881629,232.952310592851,4737.90683746691,651.403306661584,10,90,Warning
1.29983575580946,1.53590761419327,2.31082683297723,3.89168082375588,10,10,10,91.9638305153945,315.350610870347,562.793507554435,645.395178210188,656.336704909555,667.026175343489,66.0683710045382,229.375917851977,4777.96482822768,661.969199056636,10,100,Warning
1.30973542948152,1.55044768127563,2.3373059128704,3.92042409639727,10,10,10,88.9424791181122,309.40053759758,559.766724269518,655.005316693939,666.240285217842,677.219652391232,67.0783408010014,225.76158956902,4813.33787081676,672.025268982876,10,110,Warning
1.31966069503269,1.56505662651278,2.3638782510967,3.95222838564867,10,10,10,86.0384786224982,303.49651097918,556.073130780047,664.140086667817,675.661678576588,686.924399615865,68.0399058517466,222.15050052231,4844.27542625719,681.595694581392,10,120,Warning
1.32964015142552,1.57974565547213,2.39059217393427,3.98603337927196,10,10,10,83.2482155027898,297.65948550825,551.828180390639,672.822309174686,684.623752879442,696.163321184235,68.9553339995115,218.803322459064,4871.022635689,690.703363630466,10,130,Fault
1.33968565841396,1.59452492394804,2.41762370762219,4.0224425155578,10,10,10,80.5659070329745,291.886110811343,547.12224103341,681.073576092905,693.14815790444,704.958114318912,69.8267736159562,215.460781199738,4893.80374097773,699.369951651577,10,140,Fault
1.34980438202856,1.60913458377509,2.444880908844,4.06066173720249,10,10,10,77.992515067472,286.193592846824,542.039430967083,688.898423676219,701.25539896393,713.329341607244,70.6562607575236,212.12113118619,4912.83530752797,707.615994852143,10,150,Fault
1.18763985870848,1.36040060938255,1.88987256276691,2.72831955489741,8.16006020354037,10,10,144.419371069092,477.476418622316,901.425515610216,1181.28337030183,1198.82978216767,1213.25568940593,120.159535364934,337.501711114734,8343.31039414188,1206.43889792795,12,20,Healthy
1.19894040938255,1.37455581538977,1.91437171679185,2.7692996950396,7.59807797521065,10,10,139.031224223071,465.936385271769,886.0870151298,1180.48264638436,1203.03255940442,1217.85964892732,120.616359373689,331.149413680332,8306.88327645669,1210.85277621606,12,30,Healthy
1.20876506696353,1.38884871803887,1.93899224186509,2.81059104497747,7.13058718808848,10,10,133.864057518838,454.685796999424,870.824695440987,1177.45767369412,1206.75382293377,1221.97068950794,121.024352011519,324.8882882365,8266.88341508182,1214.77910671924,12,40,Healthy
1.21848320473205,1.40312180972878,1.96374888345838,2.85246657303737,6.74411653516954,10,10,128.909972220079,443.713847317871,855.678782463452,1172.58101806753,1210.02380385653,1225.61914775779,121.386517151394,318.714932729927,8223.58039961481,1218.24817792263,12,50,Healthy
1.2282744739613,1.416897594507,1.98864892568223,2.89447890406154,6.62355033181138,10,10,124.158933673153,433.044001267072,840.677632744537,1166.16301334089,1212.87075562865,1228.83340486706,121.70566511727,312.691119697522,8177.23560757451,1221.2883123203,12,60,Healthy
1.23816028048845,1.43075594453542,2.01371466051726,2.93714166461172,6.65398392981514,10,10,119.612377631197,422.657498080679,825.845233687439,1158.46313497672,1215.3210994667,1231.64002881512,121.984426756361,306.926357745196,8128.08237534761,1223.92601013273,12,70,Healthy
