riseTime,millerTime,Vge_plateau,max_dVge,max_dIdt,tailTime,Vce_overshoot,E_on,E_off,Vge_max,HealthState
1.57e-06,4.9e-07,11.0521743862791,585788087.169287,58905493.0436036,2.29999999999999e-07,0.0271685115434366,0.0127190920704822,0.00622283058725451,16.1580829008529,Healthy
1.64e-06,6.8e-07,10.8807302369734,571225905.719313,58762403.6595558,2.90000000000001e-07,0.0250469947108058,0.0155793344111633,0.00758226249181099,16.1580829008529,Warning
1.75e-06,9.6e-07,10.9595578021078,558904820.281204,58575498.6567778,3.8e-07,0.0223006760161866,0.0187537205051079,0.00994644158928219,16.1580829008529,Fault
