riseTime,millerTime,Vge_plateau,max_dVge,max_dIdt,fallTime,Vce_overshoot,Vge_max,Eon_mean,Eoff_mean,Esw_mean,Esw_max,dEsw_dIc,tOn_mean,tOff_mean,tOff_max,t_ratio,Vce_50A,Vce_100A,Vce_275A,Vce_550A,Vce_1200A,Vce_2500A,Vce_3400A,Ic_1_5V,Ic_2_5V,Ic_4V,Ic_6V,Ic_8V,Ic_10V,mean_dIdV,max_dIdV,area_IV,mean_Ic_highV,HealthState
2.60E-07,1.50E-07,9.984021045,389404377.2,76886241.15,5.60E-07,0.013510065,10.41872988,0.000401669,0.000659707,0.001061377,0.002322835,8.86E-06,3.04E-07,5.58E-07,7.20E-07,1.835526316,1.339685658,1.594524924,2.417623708,4.022442516,10,10,10,80.56590703,291.8861108,547.122241,681.0735761,693.1481579,704.9581143,69.82677362,215.4607812,4893.803741,699.3699517,Fault
2.40E-07,2.00E-07,9.980707438,385664991.8,59274956.14,8.10E-07,0.012191582,10.33997758,0.000401669,0.000659707,0.001061377,0.002322835,8.86E-06,3.04E-07,5.58E-07,7.20E-07,1.835526316,1.339685658,1.594524924,2.417623708,4.022442516,10,10,10,80.56590703,291.8861108,547.122241,681.0735761,693.1481579,704.9581143,69.82677362,215.4607812,4893.803741,699.3699517,Fault
2.20E-07,2.70E-07,9.95483886,382455896.5,59137304.2,1.50E-06,0.00883979,10.21992517,0.000401669,0.000659707,0.001061377,0.002322835,8.86E-06,3.04E-07,5.58E-07,7.20E-07,1.835526316,1.339685658,1.594524924,2.417623708,4.022442516,10,10,10,80.56590703,291.8861108,547.122241,681.0735761,693.1481579,704.9581143,69.82677362,215.4607812,4893.803741,699.3699517,Fault
2.70E-07,1.40E-07,9.984083131,389404339.6,78441204.07,5.60E-07,0.013738453,10.43149253,0.000404064,0.000661264,0.001065328,0.00233422,9.00E-06,3.08E-07,5.60E-07,7.30E-07,1.818181818,1.349804382,1.609134584,2.444880909,4.060661737,10,10,10,77.99251507,286.1935928,542.039431,688.8984237,701.255399,713.3293416,70.65626076,212.1211312,4912.835308,707.6159949,Fault
2.40E-07,2.00E-07,9.980724287,385664992.3,59280446.82,8.10E-07,0.012392344,10.35624163,0.000404064,0.000661264,0.001065328,0.00233422,9.00E-06,3.08E-07,5.60E-07,7.30E-07,1.818181818,1.349804382,1.609134584,2.444880909,4.060661737,10,10,10,77.99251507,286.1935928,542.039431,688.8984237,701.255399,713.3293416,70.65626076,212.1211312,4912.835308,707.6159949,Fault
2.30E-07,2.60E-07,9.954820549,382455915.7,59147437.88,1.50E-06,0.008966936,10.24141337,0.000404064,0.000661264,0.001065328,0.00233422,9.00E-06,3.08E-07,5.60E-07,7.30E-07,1.818181818,1.349804382,1.609134584,2.444880909,4.060661737,10,10,10,77.99251507,286.1935928,542.039431,688.8984237,701.255399,713.3293416,70.65626076,212.1211312,4912.835308,707.6159949,Fault
1.70E-07,1.70E-07,9.984080912,389404364.6,62041165.11,5.60E-07,0.011696622,10.27741735,0.000721354,0.000959494,0.001680848,0.003234331,0.00013712,4.74E-07,6.64E-07,6.70E-07,1.400843882,1.215415744,1.419873395,2.110460314,6.429863551,10,10,10,120.6578076,361.3663024,538.9069674,548.1874006,556.5353273,564.6707331,55.92788839,260.0422065,4300.976801,560.8236823,Healthy
1.70E-07,2.50E-07,9.980771984,385664992,59083562.99,8.10E-07,0.010628811,10.1862928,0.000721354,0.000959494,0.001680848,0.003234331,0.00013712,4.74E-07,6.64E-07,6.70E-07,1.400843882,1.215415744,1.419873395,2.110460314,6.429863551,10,10,10,120.6578076,361.3663024,538.9069674,548.1874006,556.5353273,564.6707331,55.92788839,260.0422065,4300.976801,560.8236823,Healthy
1.80E-07,3.30E-07,9.954831892,382455900.9,53284924.22,1.50E-06,0.00785505,10.17918782,0.000721354,0.000959494,0.001680848,0.003234331,0.00013712,4.74E-07,6.64E-07,6.70E-07,1.400843882,1.215415744,1.419873395,2.110460314,6.429863551,10,10,10,120.6578076,361.3663024,538.9069674,548.1874006,556.5353273,564.6707331,55.92788839,260.0422065,4300.976801,560.8236823,Healthy
1.80E-07,1.70E-07,9.984063484,389404420.6,63059754.8,5.60E-07,0.011800452,10.29234513,0.000733703,0.000960711,0.001694414,0.003293303,0.000139417,4.88E-07,6.68E-07,6.80E-07,1.368852459,1.225653168,1.434237867,2.134367399,4.016247964,10,10,10,116.6188109,356.1767629,549.4879558,562.5988826,571.2945732,579.7716211,57.42386459,256.0589641,4382.544664,575.7627925,Healthy
1.70E-07,2.40E-07,9.980740791,385664883.4,59091197.03,8.10E-07,0.010718441,10.19006383,0.000733703,0.000960711,0.001694414,0.003293303,0.000139417,4.88E-07,6.68E-07,6.80E-07,1.368852459,1.225653168,1.434237867,2.134367399,4.016247964,10,10,10,116.6188109,356.1767629,549.4879558,562.5988826,571.2945732,579.7716211,57.42386459,256.0589641,4382.544664,575.7627925,Healthy
1.80E-07,3.30E-07,9.954831034,382455895.9,54041520.01,1.50E-06,0.007910603,10.17941297,0.000733703,0.000960711,0.001694414,0.003293303,0.000139417,4.88E-07,6.68E-07,6.80E-07,1.368852459,1.225653168,1.434237867,2.134367399,4.016247964,10,10,10,116.6188109,356.1767629,549.4879558,562.5988826,571.2945732,579.7716211,57.42386459,256.0589641,4382.544664,575.7627925,Healthy
1.80E-07,1.70E-07,9.983982438,389404326,64096266.72,5.60E-07,0.011910444,10.30486546,0.000750294,0.000959414,0.001709708,0.003376407,0.000143168,5.06E-07,6.64E-07,6.70E-07,1.312252964,1.23594509,1.44865312,2.15857353,3.887169249,10,10,10,112.7087515,350.7076131,557.0282472,576.2972431,585.334123,594.1465942,58.84795311,251.9546194,4457.10901,589.9789131,Healthy
1.70E-07,2.40E-07,9.980744523,385664992.1,59119633.1,8.10E-07,0.010812199,10.19477688,0.000750294,0.000959414,0.001709708,0.003376407,0.000143168,5.06E-07,6.64E-07,6.70E-07,1.312252964,1.23594509,1.44865312,2.15857353,3.887169249,10,10,10,112.7087515,350.7076131,557.0282472,576.2972431,585.334123,594.1465942,58.84795311,251.9546194,4457.10901,589.9789131,Healthy
1.80E-07,3.40E-07,9.954831018,382455907,54812584.94,1.50E-06,0.007968438,10.17964198,0.000750294,0.000959414,0.001709708,0.003376407,0.000143168,5.06E-07,6.64E-07,6.70E-07,1.312252964,1.23594509,1.44865312,2.15857353,3.887169249,10,10,10,112.7087515,350.7076131,557.0282472,576.2972431,585.334123,594.1465942,58.84795311,251.9546194,4457.10901,589.9789131,Healthy
1.90E-07,1.70E-07,9.984035115,389404372.8,65185613.31,5.60E-07,0.01202873,10.32109661,0.000786688,0.000961436,0.001748124,0.003556581,0.000150503,5.52E-07,6.68E-07,6.80E-07,1.210144928,1.246308024,1.463146483,2.183034925,3.84592081,10,10,10,108.9291177,345.0292883,562.0757146,589.3185521,598.6899348,607.83149,60.20370191,248.0680324,4525.063009,603.5079394,Healthy
1.80E-07,2.30E-07,9.980736924,385664991.6,59125621.89,8.10E-07,0.01091419,10.20099,0.000786688,0.000961436,0.001748124,0.003556581,0.000150503,5.52E-07,6.68E-07,6.80E-07,1.210144928,1.246308024,1.463146483,2.183034925,3.84592081,10,10,10,108.9291177,345.0292883,562.0757146,589.3185521,598.6899348,607.83149,60.20370191,248.0680324,4525.063009,603.5079394,Healthy
1.80E-07,3.40E-07,9.954832314,382455897.7,55621339.16,1.50E-06,0.008030647,10.17986584,0.000786688,0.000961436,0.001748124,0.003556581,0.000150503,5.52E-07,6.68E-07,6.80E-07,1.210144928,1.246308024,1.463146483,2.183034925,3.84592081,10,10,10,108.9291177,345.0292883,562.0757146,589.3185521,598.6899348,607.83149,60.20370191,248.0680324,4525.063009,603.5079394,Healthy
