Temp_C,Eon_mean,Eoff_mean,Esw_mean,Esw_max,Esw_std,dEsw_dIc,tOn_mean,tOff_mean,tOff_max,t_ratio,HealthState
25,0.000182815441912568,0.000991304317325851,0.00117411975923842,0.00197455407049507,0.000628441038213994,7.94861087035125e-05,1e-07,7.26e-07,8.8e-07,7.26,Healthy
50,0.000191845749755703,0.000997596943804383,0.00118944269356009,0.00200585716876109,0.000636814562141162,8.0542215506006e-05,1.06e-07,7.56e-07,9.3e-07,7.13207547169811,Healthy
75,0.000200326106367006,0.00100169749954144,0.00120202360590844,0.00202899432224846,0.000644758872934045,8.15462899600383e-05,1.1e-07,7.84e-07,9.79999999999999e-07,7.12727272727272,Healthy
100,0.000208238520363078,0.00101233420504269,0.00122057272540577,0.00206108055225053,0.000656743137676035,8.30660971518092e-05,1.12e-07,8.22e-07,1.03e-06,7.33928571428571,Warning
125,0.000217974198211808,0.00101647225503202,0.00123444645324383,0.00208135781308291,0.000663917140496639,8.3975592131828e-05,1.2e-07,8.58e-07,1.09e-06,7.15,Warning
150,0.000231269405078344,0.00102265236123461,0.00125392176631295,0.00211978148479358,0.000673841010770146,8.52237549830756e-05,1.34e-07,8.9e-07,1.14e-06,6.64179104477612,Fault
